DESC_PROVINCIA;CENTRO_EXAMEN;CODIGO_AUTOESCUELA;NOMBRE_AUTOESCUELA;CODIGO_SECCION;MES;ANYO;TIPO_EXAMEN;NOMBRE_PERMISO;NUM_APTOS;NUM_APTOS_1conv;NUM_APTOS_2conv;NUM_APTOS_3o4conv;NUM_APTOS_5_o_mas_conv;NUM_NO_APTOS
Albacete;Albacete;AB0198;ALARCON;01;12;2025;PRUEBA TEÓRICA;B  ;12;7;2;2;1;8
Albacete;Albacete;AB0198;ALARCON;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;6;5;1;0;0;9
Albacete;Albacete;AB0220;ALBA;01;12;2025;PRUEBA ESPECÍFICO;C  ;2;1;1;0;0;0
Albacete;Albacete;AB0220;ALBA;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;C  ;2;0;1;1;0;0
Albacete;Albacete;AB0220;ALBA;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;A1 ;0;0;0;0;0;1
Albacete;Albacete;AB0220;ALBA;01;12;2025;PRUEBA TEÓRICA;B  ;11;9;2;0;0;7
Albacete;Albacete;AB0220;ALBA;01;12;2025;PRUEBA TEÓRICA;A1 ;1;0;0;1;0;0
Albacete;Albacete;AB0220;ALBA;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;6;6;0;0;0;4
Albacete;Albacete;AB0017;ALEAN;  ;12;2025;PRUEBA TEÓRICA;RPV;0;0;0;0;0;2
Albacete;Albacete;AB0238;ATZ DRIVING;01;12;2025;PRUEBA TEÓRICA;B  ;3;2;1;0;0;2
Albacete;Albacete;AB0238;ATZ DRIVING;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;4;3;0;1;0;15
Albacete;Albacete;AB0250;AUTIUS;01;12;2025;PRUEBA TEÓRICA;B  ;7;5;1;1;0;10
Albacete;Albacete;AB0250;AUTIUS;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;13;11;2;0;0;11
Albacete;Albacete;AB0235;AUTOESCUELA CARRETAS;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;3;1;1;1;0;2
Albacete;Albacete;AB0235;AUTOESCUELA CARRETAS;01;12;2025;PRUEBA TEÓRICA;B  ;1;1;0;0;0;4
Albacete;Albacete;AB0210;AUTOESCUELA GP;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;A2 ;1;1;0;0;0;0
Albacete;Albacete;AB0210;AUTOESCUELA GP;01;12;2025;PRUEBA ESPECÍFICO;A2 ;2;0;1;1;0;0
Albacete;Albacete;AB0210;AUTOESCUELA GP;01;12;2025;PRUEBA TEÓRICA;B  ;5;3;1;1;0;1
Albacete;Albacete;AB0210;AUTOESCUELA GP;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;1;1;0;0;0;2
Albacete;Albacete;AB0192;AUTOESCUELA RUIZ;01;12;2025;PRUEBA TEÓRICA;B  ;5;4;0;1;0;4
Albacete;Albacete;AB0192;AUTOESCUELA RUIZ;01;12;2025;PRUEBA ESPECÍFICO;AM ;1;1;0;0;0;0
Albacete;Albacete;AB0192;AUTOESCUELA RUIZ;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;3;1;0;2;0;3
Albacete;Albacete;AB0192;AUTOESCUELA RUIZ;01;12;2025;PRUEBA ESPECÍFICO;A2 ;1;1;0;0;0;0
Albacete;Albacete;AB0236;AVENIDA;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;5;1;2;1;1;3
Albacete;Albacete;AB0236;AVENIDA;01;12;2025;PRUEBA TEÓRICA;B  ;0;0;0;0;0;2
Albacete;Albacete;AB0214;BIANCO;01;12;2025;PRUEBA TEÓRICA;B  ;5;2;2;1;0;1
Albacete;Albacete;AB0214;BIANCO;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;1;0;0;1;0;1
Albacete;Albacete;AB0080;CIMA;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;A1 ;0;0;0;0;0;1
Albacete;Albacete;AB0080;CIMA;01;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;4;2;2;0;0;5
Albacete;Albacete;AB0080;CIMA;03;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;B  ;1;1;0;0;0;1
Albacete;Albacete;CU0015;CRISCE;03;12;2025;PRUEBA ESPECÍFICO;C  ;19;18;0;1;0;2
Albacete;Albacete;CU0015;CRISCE;03;12;2025;PRUEBA ESPECÍFICO;EC ;3;3;0;0;0;2
Albacete;Albacete;CU0015;CRISCE;03;12;2025;PRUEBA CONDUCCIÓN Y CIRCULACIÓN;EC ;2;2;0;0;0;0
